15 seconds no increase

  G14: Score 0.0 | P(Delta >= 5) = 0.156 | continue
  G15: Score 0.5 | P(Delta >= 5) = 0.141 | continue
  G16: Score 0.5 | P(Delta >= 5) = 0.162 | continue
  G17: Score 1.0 | P(Delta >= 5) = 0.263 | continue
  G18: Score 0.0 | P(Delta >= 5) = 0.164 | continue
  G19: Score 0.5 | P(Delta >= 5) = 0.165 | continue
  G20: Score 0.0 | P(Delta >= 5) = 0.116 | reject_H0

--- ITERATION 8: Tuning LMR_intercept (0.00 -> 1.46) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.478 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.149 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.499 | continue
  G4: Score 0.0 | P(Delta >= 5) = 0.276 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.486 | continue
  G6: Score 0.0 | P(Delta >= 5) = 0.326 | continue
  G7: Score 0.0 | P(Delta >= 5) = 0.237 | continue
  G8: Score 0.0 | P(Delta >= 5) = 0.129 | continue
  G9: Score 1.0 | P(Delta >= 5) = 0.219 | continue
  G10: Score 0.0 | P(Delta >= 5) = 0.164 | continue
  G11: Score 0.5 | P(Delta >= 5) = 0.164 | continue
  G12: Score 0.5 | P(Delta >= 5) = 0.163 | continue
  G13: Score 0.5 | P(Delta >= 5) = 0.157 | continue
  G14: Score 0.0 | P(Delta >= 5) = 0.098 | reject_H0

--- ITERATION 9: Tuning LMR_slope (0.89 -> 1.03) ---
  G1: Score 1.0 | P(Delta >= 5) = 0.810 | continue
  G2: Score 0.5 | P(Delta >= 5) = 0.827 | continue
  G3: Score 0.5 | P(Delta >= 5) = 0.840 | continue
  G4: Score 0.0 | P(Delta >= 5) = 0.471 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.675 | continue
  G6: Score 0.5 | P(Delta >= 5) = 0.671 | continue
  G7: Score 0.0 | P(Delta >= 5) = 0.469 | continue
  G8: Score 1.0 | P(Delta >= 5) = 0.624 | continue
  G9: Score 1.0 | P(Delta >= 5) = 0.757 | continue
  G10: Score 0.5 | P(Delta >= 5) = 0.763 | continue
  G11: Score 0.5 | P(Delta >= 5) = 0.752 | continue
  G12: Score 0.0 | P(Delta >= 5) = 0.610 | continue
